"排名","代號","名稱","股價日期","成交","漲跌價","漲跌幅","股利發放年度","最後成交價","所屬EPS","現金股利","股票股利","合計股利","現金殖利率","股票殖利率","合計殖利率","盈餘配息率","盈餘配股率","盈餘總分配率","現金股利發放日"
"154",="6208","日揚","05/22","25.6","-0.3","-1.16","2018","21.1","1.83","1.4","0","1.4","6.64","0","6.64","76.5","0","76.5","18'07/18"
"155",="2727","王品","05/22","68","-0.3","-0.44","2018","78.7","6.01","5.5","0","5.5","6.99","0","6.99","91.5","0","91.5","18'07/11"
"156",="6206","飛捷","05/22","68","-0.8","-1.16","2018","68","5.06","4.5","0","4.5","6.62","0","6.62","88.9","0","88.9","18'08/20"
"157",="8390","金益鼎","05/22","18.15","-0.25","-1.36","2018","13.95","0.52","0.3","0","0.3","2.15","0","2.15","57.7","0","57.7","18'09/19"
"158",="6189","豐藝","05/22","34.5","-0.1","-0.29","2018","28.3","1.96","1.8","0","1.8","6.36","0","6.36","91.8","0","91.8","18'08/23"
"159",="3455","由田","05/22","45.4","-0.55","-1.2","2018","69.7","2.75","2.05","0","2.05","2.95","0","2.95","74.7","0","74.7","18'12/05"
"160",="9942","茂順","05/22","63.6","-0.6","-0.93","2018","67.6","6.33","4.2","0","4.2","6.21","0","6.21","66.4","0","66.4","18'08/10"
"161",="2404","漢唐","05/22","197","+1.5","+0.77","2018","89.7","5.1","6","0","6","6.69","0","6.69","118","0","118","18'07/27"
"162",="3541","西柏","05/22","75.8","-0.6","-0.79","2018","66.2","5.55","5","0","5","7.55","0","7.55","90.1","0","90.1","18'08/03"
"163",="2476","鉅祥","05/22","19.75","-0.4","-1.99","2018","21.95","2.1","1.6","0","1.6","7.29","0","7.29","76.2","0","76.2","18'09/07"
"164",="5403","中菲","05/22","47.1","-0.4","-0.84","2018","34","3.73","3.4","0","3.4","10","0","10","91.2","0","91.2","18'08/08"
"165",="6613","朋億","05/22","152","+1.5","+1","2018","140","15.07","10","0","10","7.14","0","7.14","66.4","0","66.4","18'07/13"
"166",="4417","金洲","05/22","30.45","-0.1","-0.33","2018","37.4","2.82","1.8","0","1.8","4.81","0","4.81","63.8","0","63.8","18'07/25"
"167",="6560","欣普羅","05/22","30.45","-0.55","-1.77","2018","43.5","-0.7","0","0","0","0","0","0","0","0","0",""
"168",="1315","達新","05/22","55.6","+0.1","+0.18","2018","26.5","0.9","1.1","0","1.1","4.15","0","4.15","122","0","122","18'08/15"
